"Entity","Business Entities","Products","Data Flow","Scan Findings","Data Element","Sensitivity","Language","File Path","Field Name","Location","Source URL","Database Name","Database Instance Name","Table and Column Name","Operation Type","Operation","API Endpoint","API Field Names","Confidence"
"Amazon S3","","","","test_connection: denisolt-test-bucket/a/b/sample-file.parquet","PaymentCard","","REST API","","","","","denisolt-test-bucket","","a/b/sample-file.parquet.credit_card_number","","","","credit_card_number","Very Likely"
"Amazon S3","","","","test_connection: denisolt-test-bucket/a/b/sample-file.parquet","PaymentCard","","REST API","","","","","denisolt-test-bucket","","a/b/sample-file.parquet.credit_card_number","","","","credit_card_number","Possible"
"Amazon S3","","","","test_connection: denisolt-test-bucket/root-level.parquet","PaymentCard","","REST API","","","","","denisolt-test-bucket","","root-level.parquet.credit_card_number","","","","credit_card_number","Likely"
"Amazon S3","","","","test_connection: denisolt-test-bucket/root-level.parquet","PaymentCard","","REST API","","","","","denisolt-test-bucket","","root-level.parquet.credit_card_number","","","","credit_card_number","Possible"
"Amazon S3","","","","test_connection: denisolt-test-bucket/a/b/sample-file.parquet","Weight","","REST API","","","","","denisolt-test-bucket","","a/b/sample-file.parquet.attributes","","","","attributes","Very Likely"
"Amazon S3","","","","test_connection: denisolt-test-bucket/root-level.parquet","Weight","","REST API","","","","","denisolt-test-bucket","","root-level.parquet.attributes","","","","attributes","Very Likely"
"Amazon S3","","","","test_connection: denisolt-test-bucket/sample-file.parquet","DateOfBirth","","","","","","","denisolt-test-bucket","","sample-file.parquet.dob","","","","dob","Likely"
"Amazon S3","","","","test_connection: denisolt-test-bucket/sample-file.parquet","EmailAddress","","REST API","","","","","denisolt-test-bucket","","sample-file.parquet.email","","","","email","Likely"
"Amazon S3","","","","test_connection: denisolt-test-bucket/sample-file.parquet","EmailAddress","","REST API","","","","","denisolt-test-bucket","","sample-file.parquet.email","","","","email","Very Likely"
"Amazon S3","","","","test_connection: denisolt-test-bucket/sample-file.parquet","Family","","REST API","","","","","denisolt-test-bucket","","sample-file.parquet.attributes","","","","attributes","Very Likely"
"Amazon S3","","","","test_connection: denisolt-test-bucket/sample-file.parquet","HealthData","High","REST API","","","","","denisolt-test-bucket","","sample-file.parquet.attributes","","","","attributes","Possible"
"Amazon S3","","","","test_connection: denisolt-test-bucket/sample-file.parquet","Height","High","REST API","","","","","denisolt-test-bucket","","sample-file.parquet.attributes","","","","attributes","Very Likely"
"Amazon S3","","","","test_connection: denisolt-test-bucket/sample-file.parquet","Location","","REST API","","","","","denisolt-test-bucket","","sample-file.parquet.name","","","","name","Likely"
"Amazon S3","","","","test_connection: denisolt-test-bucket/sample-file.parquet","Name","Medium","REST API","","","","","denisolt-test-bucket","","sample-file.parquet.name","","","","name","Likely"
